id,answer_format,is_mcq,primary_category,category_tag_parse_ok,category_tag_source,statistics_probability,calculus,geometry_trig,linear_algebra,discrete_algorithm,arithmetic_algebra,applied_word_problem,general_math
0,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
1,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
2,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
3,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
4,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
5,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
6,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
7,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
8,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
9,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
10,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
11,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
12,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
13,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
14,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
15,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
16,free_form,False,calculus,True,rule_override_general_math,0,1,0,0,0,0,0,0
17,mcq,True,discrete_algorithm,True,rule_override_general_math,0,0,0,0,1,0,0,0
18,mcq,True,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
19,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
20,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
21,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
22,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
23,mcq,True,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
24,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
25,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
26,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
27,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
28,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
29,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
30,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
31,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
32,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
33,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
34,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
35,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
36,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
37,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
38,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
39,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
