id,answer_format,is_mcq,primary_category,category_tag_parse_ok,category_tag_source,statistics_probability,calculus,geometry_trig,linear_algebra,discrete_algorithm,arithmetic_algebra,applied_word_problem,general_math
0,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
1,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
2,free_form,False,calculus,True,qwen_json,0,1,0,0,0,0,0,0
3,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
4,mcq,True,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
5,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
6,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
7,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
8,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
9,mcq,True,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
10,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
11,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
12,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
13,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
14,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
15,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
16,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
17,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
18,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
19,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
20,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
21,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
22,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
23,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
24,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
25,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
26,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
27,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
28,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
29,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
30,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
31,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
32,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
33,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
34,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
35,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
36,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
37,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
38,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
39,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
40,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
41,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
42,mcq,True,discrete_algorithm,True,qwen_json,0,0,0,0,1,0,0,0
43,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
44,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
45,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
46,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
47,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
48,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
49,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
50,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
51,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
52,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
53,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
54,mcq,True,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
55,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
56,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
57,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
58,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
59,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
60,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
61,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
62,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
63,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
64,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
65,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
66,free_form,False,calculus,True,qwen_json,0,1,0,0,0,0,0,0
67,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
68,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
69,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
70,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
71,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
72,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
73,mcq,True,discrete_algorithm,True,rule_override_general_math,0,0,0,0,1,0,0,0
74,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
75,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
76,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
77,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
78,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
79,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
80,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
81,mcq,True,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
82,mcq,True,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
83,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
84,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
85,mcq,True,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
86,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
87,mcq,True,discrete_algorithm,True,rule_override_general_math,0,0,0,0,1,0,0,0
88,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
89,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
90,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
91,mcq,True,discrete_algorithm,True,qwen_json,0,0,0,0,1,0,0,0
92,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
93,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
94,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
95,mcq,True,general_math,True,qwen_json,0,0,0,0,0,0,0,1
96,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
97,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
98,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
99,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
100,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
101,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
102,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
103,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
104,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
105,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
106,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
107,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
108,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
109,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
110,mcq,True,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
111,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
112,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
113,free_form,False,calculus,True,qwen_json,0,1,0,0,0,0,0,0
114,mcq,True,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
115,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
116,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
117,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
118,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
119,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
120,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
121,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
122,mcq,True,arithmetic_algebra,False,rule_fallback,0,0,0,0,0,1,0,0
123,mcq,True,discrete_algorithm,True,qwen_json,0,0,0,0,1,0,0,0
124,free_form,False,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
125,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
126,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
127,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
128,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
129,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
130,mcq,True,general_math,True,qwen_json,0,0,0,0,0,0,0,1
131,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
132,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
133,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
134,mcq,True,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
135,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
136,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
137,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
138,mcq,True,linear_algebra,True,qwen_json,0,0,0,1,0,0,0,0
139,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
140,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
141,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
142,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
143,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
144,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
145,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
146,mcq,True,calculus,True,qwen_json,0,1,0,0,0,0,0,0
147,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
148,mcq,True,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
149,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
150,free_form,False,discrete_algorithm,True,rule_override_general_math,0,0,0,0,1,0,0,0
151,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
152,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
153,mcq,True,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
154,mcq,True,discrete_algorithm,True,qwen_json,0,0,0,0,1,0,0,0
155,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
156,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
157,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
158,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
159,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
160,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
161,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
162,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
163,free_form,False,applied_word_problem,True,qwen_json,0,0,0,0,0,0,1,0
164,free_form,False,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
165,mcq,True,statistics_probability,True,qwen_json,1,0,0,0,0,0,0,0
166,free_form,False,arithmetic_algebra,True,qwen_json,0,0,0,0,0,1,0,0
167,free_form,False,geometry_trig,True,qwen_json,0,0,1,0,0,0,0,0
